Day,Employee_ID,Name,Target_Packaged,Actual_Packaged,Total_Time_Taken (secs),Feedback_Rating
4,SP14,Tanvi,10,10,178,4.7
4,SP15,Usha,10,10,155,3.6
4,SP16,Varsha,10,10,149,4.4
4,SP17,Yash,10,9,131,4.3
4,SP18,Zain,10,10,155,4.0
4,SP19,Arjun,10,10,139,4.3
4,SP20,Bhavna,10,10,144,4.0
5,SP01,Fatima,10,10,141,4.7
5,SP02,Gaurav,10,10,155,5.0
5,SP03,Hema,10,8,136,4.6
5,SP04,Ishan,10,10,134,4.1
5,SP05,Jiya,10,10,142,4.9
5,SP06,Kabir,10,10,165,4.3
5,SP07,Lalit,10,10,143,4.5
5,SP08,Mira,10,10,159,4.7
5,SP09,Naveen,10,10,149,4.3
5,SP10,Omkar,10,10,166,4.8
5,SP11,Priya,10,10,155,4.9
5,SP12,Rashmi,10,10,139,3.8
5,SP13,Siddharth,10,10,140,4.4
5,SP14,Tanvi,10,10,153,4.7
5,SP15,Usha,10,10,161,4.4
5,SP16,Varsha,10,10,146,5.0
5,SP17,Yash,10,10,132,3.9
5,SP18,Zain,10,10,156,5.0
5,SP19,Arjun,10,10,141,5.0
5,SP20,Bhavna,10,10,145,4.3
6,SP01,Fatima,10,10,155,4.9
6,SP02,Gaurav,10,10,154,4.3
6,SP03,Hema,10,9,135,4.1
6,SP04,Ishan,10,10,145,3.9
6,SP05,Jiya,10,10,153,5.0
6,SP06,Kabir,10,10,152,4.1
6,SP07,Lalit,10,10,155,5.0
6,SP08,Mira,10,10,139,4.4
6,SP09,Naveen,10,10,147,5.0
6,SP10,Omkar,10,10,147,3.4
6,SP11,Priya,10,10,157,4.1
6,SP12,Rashmi,10,10,163,4.7
6,SP13,Siddharth,10,10,156,4.5
6,SP14,Tanvi,10,10,167,4.5
6,SP15,Usha,10,10,155,4.2
6,SP16,Varsha,10,10,143,5.0
6,SP17,Yash,10,9,148,4.7
6,SP18,Zain,10,10,151,5.0
6,SP19,Arjun,10,10,158,3.9
6,SP20,Bhavna,10,10,168,4.4
7,SP01,Fatima,10,8,137,5.0
7,SP02,Gaurav,10,10,148,3.8
7,SP03,Hema,10,10,156,4.0
7,SP04,Ishan,10,10,158,4.9
7,SP05,Jiya,10,10,148,5.0
7,SP06,Kabir,10,8,152,4.8
7,SP07,Lalit,10,10,154,4.8
7,SP08,Mira,10,10,147,4.4
7,SP09,Naveen,10,10,139,4.5
7,SP10,Omkar,10,10,166,5.0
7,SP11,Priya,10,10,138,4.7
7,SP12,Rashmi,10,10,152,4.9
7,SP13,Siddharth,10,10,152,4.8
7,SP14,Tanvi,10,9,143,4.0
7,SP15,Usha,10,10,178,4.6
7,SP16,Varsha,10,10,150,4.8
7,SP17,Yash,10,10,160,4.4
7,SP18,Zain,10,9,166,5.0
7,SP19,Arjun,10,10,138,3.7
7,SP20,Bhavna,10,8,135,4.1
8,SP01,Fatima,10,10,143,4.0
8,SP02,Gaurav,10,10,150,5.0
8,SP03,Hema,10,10,124,4.0
8,SP04,Ishan,10,10,147,4.8
8,SP05,Jiya,10,10,129,5.0
8,SP06,Kabir,10,10,145,5.0
8,SP07,Lalit,10,10,148,4.6
8,SP08,Mira,10,9,167,4.4
8,SP09,Naveen,10,8,123,4.0
8,SP10,Omkar,10,8,125,3.4
8,SP11,Priya,10,8,152,5.0
8,SP12,Rashmi,10,10,152,4.7
8,SP13,Siddharth,10,10,166,3.5
8,SP14,Tanvi,10,10,136,4.3
8,SP15,Usha,10,10,160,4.6
8,SP16,Varsha,10,10,140,4.2
8,SP17,Yash,10,10,161,5.0
8,SP18,Zain,10,10,138,4.5
8,SP19,Arjun,10,10,145,4.2
8,SP20,Bhavna,10,10,135,4.7
9,SP01,Fatima,10,10,160,5.0
9,SP02,Gaurav,10,10,147,4.4
9,SP03,Hema,10,10,136,4.9
9,SP04,Ishan,10,10,147,3.4
9,SP05,Jiya,10,10,144,4.6
9,SP06,Kabir,10,10,148,4.7
9,SP07,Lalit,10,10,134,3.9
9,SP08,Mira,10,8,156,4.8
9,SP09,Naveen,10,10,155,4.9
9,SP10,Omkar,10,10,143,4.2
9,SP11,Priya,10,10,151,4.4
9,SP12,Rashmi,10,10,155,4.1
9,SP13,Siddharth,10,10,151,3.8
9,SP14,Tanvi,10,10,152,4.6
9,SP15,Usha,10,10,161,4.5
9,SP16,Varsha,10,10,149,4.8
9,SP17,Yash,10,10,145,4.3
9,SP18,Zain,10,9,134,4.0
9,SP19,Arjun,10,10,157,5.0
9,SP20,Bhavna,10,10,161,4.5
10,SP01,Fatima,10,8,146,4.5
10,SP02,Gaurav,10,10,157,3.9
10,SP03,Hema,10,8,157,4.5
10,SP04,Ishan,10,10,156,4.6
10,SP05,Jiya,10,10,150,5.0
10,SP06,Kabir,10,10,164,4.6
10,SP07,Lalit,10,10,152,4.7
10,SP08,Mira,10,9,158,3.5
10,SP09,Naveen,10,10,143,4.5
10,SP10,Omkar,10,8,150,4.0
10,SP11,Priya,10,10,148,4.3
10,SP12,Rashmi,10,10,135,5.0
10,SP13,Siddharth,10,10,158,5.0
10,SP14,Tanvi,10,10,150,4.5
10,SP15,Usha,10,10,159,4.7
10,SP16,Varsha,10,10,135,4.1
10,SP17,Yash,10,10,161,5.0
10,SP18,Zain,10,10,155,4.9
10,SP19,Arjun,10,9,158,4.4
10,SP20,Bhavna,10,10,154,4.5
11,SP01,Fatima,10,10,153,4.8
11,SP02,Gaurav,10,10,138,4.8
11,SP03,Hema,10,10,137,4.7
11,SP04,Ishan,10,10,160,4.6
11,SP05,Jiya,10,10,137,4.5
11,SP06,Kabir,10,8,163,4.6
11,SP07,Lalit,10,10,156,4.7
11,SP08,Mira,10,10,130,4.4
11,SP09,Naveen,10,10,164,5.0
11,SP10,Omkar,10,10,141,3.2
11,SP11,Priya,10,10,148,4.1
11,SP12,Rashmi,10,10,148,4.1
11,SP13,Siddharth,10,10,138,3.5
11,SP14,Tanvi,10,10,152,3.8
11,SP15,Usha,10,8,162,5.0
11,SP16,Varsha,10,8,153,4.5
11,SP17,Yash,10,9,157,3.8
11,SP18,Zain,10,10,141,5.0
11,SP19,Arjun,10,10,146,4.7
11,SP20,Bhavna,10,10,161,4.2
12,SP01,Fatima,10,10,149,3.3
12,SP02,Gaurav,10,10,139,4.0
12,SP03,Hema,10,10,167,4.7
12,SP04,Ishan,10,10,147,4.3
12,SP05,Jiya,10,10,140,4.4
12,SP06,Kabir,10,10,144,5.0
12,SP07,Lalit,10,10,158,4.7
12,SP08,Mira,10,9,150,3.9
12,SP09,Naveen,10,10,146,3.8
12,SP10,Omkar,10,10,137,3.7
12,SP11,Priya,10,10,151,4.8
12,SP12,Rashmi,10,10,149,4.5
12,SP13,Siddharth,10,8,161,4.3
12,SP14,Tanvi,10,10,165,4.1
12,SP15,Usha,10,10,155,5.0
12,SP16,Varsha,10,10,139,4.6
12,SP17,Yash,10,10,152,4.2
12,SP18,Zain,10,10,145,3.9
12,SP19,Arjun,10,10,136,5.0
12,SP20,Bhavna,10,10,138,4.0
13,SP01,Fatima,10,10,157,5.0
13,SP02,Gaurav,10,10,146,4.7
13,SP03,Hema,10,9,167,3.5
13,SP04,Ishan,10,9,147,4.6
13,SP05,Jiya,10,10,143,4.2
13,SP06,Kabir,10,10,160,4.8
13,SP07,Lalit,10,10,151,4.0
13,SP08,Mira,10,10,164,4.4
13,SP09,Naveen,10,10,138,4.6
13,SP10,Omkar,10,10,147,4.9
13,SP11,Priya,10,10,164,4.8
13,SP12,Rashmi,10,9,166,5.0
13,SP13,Siddharth,10,10,141,4.5
13,SP14,Tanvi,10,10,158,4.9
13,SP15,Usha,10,9,153,4.7
13,SP16,Varsha,10,10,157,4.6
13,SP17,Yash,10,10,141,4.4
13,SP18,Zain,10,10,158,4.1
13,SP19,Arjun,10,9,161,4.3
13,SP20,Bhavna,10,10,149,4.1
14,SP01,Fatima,10,10,161,4.5
14,SP02,Gaurav,10,10,150,3.8
14,SP03,Hema,10,10,153,4.3
14,SP04,Ishan,10,10,152,4.9
14,SP05,Jiya,10,10,146,4.2
14,SP06,Kabir,10,10,150,5.0
14,SP07,Lalit,10,8,146,4.7
14,SP08,Mira,10,10,163,4.7
14,SP09,Naveen,10,9,155,4.6
14,SP10,Omkar,10,8,149,4.1
14,SP11,Priya,10,8,155,4.1
14,SP12,Rashmi,10,10,150,4.3
14,SP13,Siddharth,10,10,165,4.6
14,SP14,Tanvi,10,9,147,4.3
14,SP15,Usha,10,10,166,4.5
14,SP16,Varsha,10,10,144,4.7
14,SP17,Yash,10,10,148,4.3
14,SP18,Zain,10,10,168,3.8
14,SP19,Arjun,10,10,156,4.9
14,SP20,Bhavna,10,10,148,3.4
15,SP01,Fatima,10,10,146,4.5
15,SP02,Gaurav,10,10,157,4.9
15,SP03,Hema,10,10,155,5.0
15,SP04,Ishan,10,10,148,4.2
15,SP05,Jiya,10,10,145,4.6
15,SP06,Kabir,10,10,157,5.0
15,SP07,Lalit,10,10,148,4.0
15,SP08,Mira,10,10,147,4.6
15,SP09,Naveen,10,8,143,4.7
15,SP10,Omkar,10,10,138,4.1
15,SP11,Priya,10,9,173,4.5
15,SP12,Rashmi,10,10,153,5.0
15,SP13,Siddharth,10,10,172,4.2
15,SP14,Tanvi,10,10,145,4.6
15,SP15,Usha,10,10,141,5.0
15,SP16,Varsha,10,10,155,4.2
15,SP17,Yash,10,10,157,4.5
15,SP18,Zain,10,10,151,3.7
15,SP19,Arjun,10,10,154,4.9
15,SP20,Bhavna,10,10,139,4.7
16,SP01,Fatima,10,10,151,4.5
16,SP02,Gaurav,10,8,148,5.0
16,SP03,Hema,10,10,157,4.0
16,SP04,Ishan,10,10,147,5.0
16,SP05,Jiya,10,10,163,5.0
16,SP06,Kabir,10,9,163,5.0
16,SP07,Lalit,10,9,146,3.9
16,SP08,Mira,10,8,156,4.7
16,SP09,Naveen,10,10,144,3.8
16,SP10,Omkar,10,10,132,4.2
16,SP11,Priya,10,10,145,4.3
16,SP12,Rashmi,10,10,158,4.4
16,SP13,Siddharth,10,10,139,4.7
16,SP14,Tanvi,10,9,140,4.2
16,SP15,Usha,10,10,127,4.1
16,SP16,Varsha,10,10,150,4.6
16,SP17,Yash,10,10,152,4.4
16,SP18,Zain,10,10,152,4.7
16,SP19,Arjun,10,10,150,5.0
16,SP20,Bhavna,10,8,163,4.9
17,SP01,Fatima,10,10,136,4.3
17,SP02,Gaurav,10,9,142,4.7
17,SP03,Hema,10,9,158,4.4
17,SP04,Ishan,10,10,150,4.7
17,SP05,Jiya,10,10,138,4.8
17,SP06,Kabir,10,10,146,3.9
17,SP07,Lalit,10,10,150,4.7
17,SP08,Mira,10,9,141,4.4
17,SP09,Naveen,10,10,147,4.8
17,SP10,Omkar,10,10,153,5.0
17,SP11,Priya,10,10,147,4.0
17,SP12,Rashmi,10,10,146,3.9
17,SP13,Siddharth,10,10,152,4.6
17,SP14,Tanvi,10,8,146,4.7
17,SP15,Usha,10,9,140,3.5
17,SP16,Varsha,10,8,148,4.4
17,SP17,Yash,10,10,149,4.9
17,SP18,Zain,10,10,140,5.0
17,SP19,Arjun,10,10,154,5.0
17,SP20,Bhavna,10,9,133,4.4
18,SP01,Fatima,10,9,136,4.3
18,SP02,Gaurav,10,10,156,4.1
18,SP03,Hema,10,10,150,3.8
18,SP04,Ishan,10,10,140,4.0
18,SP05,Jiya,10,9,159,4.1
18,SP06,Kabir,10,10,151,3.7
18,SP07,Lalit,10,10,136,4.5
18,SP08,Mira,10,10,137,5.0
18,SP09,Naveen,10,10,161,4.8
18,SP10,Omkar,10,10,143,3.9
18,SP11,Priya,10,10,161,4.1
18,SP12,Rashmi,10,10,157,4.8
18,SP13,Siddharth,10,10,156,3.3
18,SP14,Tanvi,10,10,167,5.0
18,SP15,Usha,10,10,150,4.3
18,SP16,Varsha,10,10,152,3.6
18,SP17,Yash,10,8,145,4.9
18,SP18,Zain,10,10,137,5.0
18,SP19,Arjun,10,10,140,4.3
18,SP20,Bhavna,10,10,143,3.9
19,SP01,Fatima,10,10,153,3.5
19,SP02,Gaurav,10,8,151,5.0
19,SP03,Hema,10,10,130,3.9
19,SP04,Ishan,10,10,141,4.3
19,SP05,Jiya,10,10,151,4.5
19,SP06,Kabir,10,10,142,4.1
19,SP07,Lalit,10,10,161,4.7
19,SP08,Mira,10,10,139,4.6
19,SP09,Naveen,10,10,161,4.1
19,SP10,Omkar,10,10,157,4.9
19,SP11,Priya,10,10,152,4.7
19,SP12,Rashmi,10,10,148,5.0
19,SP13,Siddharth,10,10,134,4.5
19,SP14,Tanvi,10,10,151,5.0
19,SP15,Usha,10,9,138,4.2
19,SP16,Varsha,10,10,150,4.7
19,SP17,Yash,10,10,163,4.0
19,SP18,Zain,10,10,148,4.3
19,SP19,Arjun,10,10,158,4.2
19,SP20,Bhavna,10,10,147,4.4
20,SP01,Fatima,10,10,144,4.6
20,SP02,Gaurav,10,10,146,5.0
20,SP03,Hema,10,10,137,3.3
20,SP04,Ishan,10,10,158,4.5
20,SP05,Jiya,10,8,149,4.7
20,SP06,Kabir,10,10,139,4.8
20,SP07,Lalit,10,9,168,4.8
20,SP08,Mira,10,10,153,4.4
20,SP09,Naveen,10,10,147,5.0
20,SP10,Omkar,10,10,153,4.1
20,SP11,Priya,10,10,161,4.6
20,SP12,Rashmi,10,9,143,5.0
20,SP13,Siddharth,10,8,154,4.5
20,SP14,Tanvi,10,10,142,3.4
20,SP15,Usha,10,10,132,5.0
20,SP16,Varsha,10,10,140,4.1
20,SP17,Yash,10,10,140,4.3
20,SP18,Zain,10,10,157,4.0
20,SP19,Arjun,10,10,137,5.0
20,SP20,Bhavna,10,10,144,4.5
21,SP01,Fatima,10,10,138,4.8
21,SP02,Gaurav,10,9,164,4.9
21,SP03,Hema,10,8,152,4.5
21,SP04,Ishan,10,8,137,3.9
21,SP05,Jiya,10,10,136,4.1
21,SP06,Kabir,10,10,140,4.8
21,SP07,Lalit,10,10,164,3.8
21,SP08,Mira,10,10,146,4.4
21,SP09,Naveen,10,9,122,3.8
21,SP10,Omkar,10,10,149,4.9
21,SP11,Priya,10,10,150,4.1
21,SP12,Rashmi,10,10,120,4.2
21,SP13,Siddharth,10,10,150,4.4
21,SP14,Tanvi,10,8,161,5.0
21,SP15,Usha,10,10,143,4.1
21,SP16,Varsha,10,10,157,3.7
21,SP17,Yash,10,10,150,3.4
21,SP18,Zain,10,10,158,4.4
21,SP19,Arjun,10,10,148,4.7
21,SP20,Bhavna,10,10,157,5.0
22,SP01,Fatima,10,10,157,3.7
22,SP02,Gaurav,10,9,150,4.6
22,SP03,Hema,10,10,157,4.4
22,SP04,Ishan,10,10,146,3.9
22,SP05,Jiya,10,8,152,5.0
22,SP06,Kabir,10,10,142,4.3
22,SP07,Lalit,10,10,154,4.9
22,SP08,Mira,10,9,153,4.6
22,SP09,Naveen,10,10,142,4.1
22,SP10,Omkar,10,10,150,4.9
22,SP11,Priya,10,10,134,5.0
22,SP12,Rashmi,10,10,160,4.0
22,SP13,Siddharth,10,10,151,5.0
22,SP14,Tanvi,10,10,151,5.0
22,SP15,Usha,10,10,132,4.9
22,SP16,Varsha,10,10,150,4.2
22,SP17,Yash,10,10,145,4.2
22,SP18,Zain,10,10,165,5.0
22,SP19,Arjun,10,10,150,4.6
22,SP20,Bhavna,10,10,164,4.3
23,SP01,Fatima,10,10,152,3.9
23,SP02,Gaurav,10,10,145,4.5
23,SP03,Hema,10,10,146,4.2
23,SP04,Ishan,10,10,137,4.6
23,SP05,Jiya,10,10,154,4.4
23,SP06,Kabir,10,10,157,5.0
23,SP07,Lalit,10,10,139,4.7
23,SP08,Mira,10,8,143,4.3
23,SP09,Naveen,10,10,151,5.0
23,SP10,Omkar,10,10,146,5.0
23,SP11,Priya,10,10,142,4.6
23,SP12,Rashmi,10,10,138,4.8
23,SP13,Siddharth,10,10,162,5.0
23,SP14,Tanvi,10,10,135,3.7
23,SP15,Usha,10,10,143,5.0
23,SP16,Varsha,10,10,134,3.9
23,SP17,Yash,10,10,154,4.6
23,SP18,Zain,10,9,137,5.0
23,SP19,Arjun,10,10,167,5.0
23,SP20,Bhavna,10,10,152,5.0
24,SP01,Fatima,10,10,148,4.8
24,SP02,Gaurav,10,10,147,4.3
24,SP03,Hema,10,9,157,4.5
24,SP04,Ishan,10,10,155,4.4
24,SP05,Jiya,10,10,149,4.7
24,SP06,Kabir,10,9,146,5.0
24,SP07,Lalit,10,8,139,3.7
24,SP08,Mira,10,10,159,4.3
24,SP09,Naveen,10,10,150,3.8
24,SP10,Omkar,10,10,145,4.2
24,SP11,Priya,10,10,143,4.6
24,SP12,Rashmi,10,10,141,4.0
24,SP13,Siddharth,10,10,146,3.9
24,SP14,Tanvi,10,8,148,4.2
24,SP15,Usha,10,8,140,3.7
24,SP16,Varsha,10,10,136,4.5
24,SP17,Yash,10,10,136,4.1
24,SP18,Zain,10,10,149,5.0
24,SP19,Arjun,10,10,131,4.3
24,SP20,Bhavna,10,10,163,5.0
25,SP01,Fatima,10,10,144,3.9
25,SP02,Gaurav,10,10,140,4.8
25,SP03,Hema,10,10,152,5.0
25,SP04,Ishan,10,10,172,4.6
25,SP05,Jiya,10,10,141,3.9
25,SP06,Kabir,10,10,149,5.0
25,SP07,Lalit,10,10,149,5.0
25,SP08,Mira,10,9,144,4.6
25,SP09,Naveen,10,10,148,4.0
25,SP10,Omkar,10,8,148,4.7
25,SP11,Priya,10,10,139,4.8
25,SP12,Rashmi,10,10,153,4.5
25,SP13,Siddharth,10,10,152,5.0
25,SP14,Tanvi,10,10,143,4.9
25,SP15,Usha,10,9,162,5.0
25,SP16,Varsha,10,10,176,5.0
25,SP17,Yash,10,8,133,4.6
25,SP18,Zain,10,9,143,4.1
25,SP19,Arjun,10,10,153,4.5
25,SP20,Bhavna,10,10,157,4.9
26,SP01,Fatima,10,9,155,4.5
26,SP02,Gaurav,10,10,158,4.1
26,SP03,Hema,10,10,136,3.7
26,SP04,Ishan,10,10,139,5.0
26,SP05,Jiya,10,10,158,4.6
26,SP06,Kabir,10,10,141,4.7
26,SP07,Lalit,10,10,158,4.8
26,SP08,Mira,10,10,162,5.0
26,SP09,Naveen,10,10,139,5.0
26,SP10,Omkar,10,10,142,5.0
26,SP11,Priya,10,10,141,5.0
26,SP12,Rashmi,10,10,136,4.7
26,SP13,Siddharth,10,10,137,4.6
26,SP14,Tanvi,10,10,145,3.7
26,SP15,Usha,10,10,144,4.1
26,SP16,Varsha,10,10,151,4.7
26,SP17,Yash,10,10,152,4.9
26,SP18,Zain,10,10,153,3.8
26,SP19,Arjun,10,8,147,5.0
26,SP20,Bhavna,10,10,159,4.4
27,SP01,Fatima,10,10,165,3.7
27,SP02,Gaurav,10,9,153,5.0
27,SP03,Hema,10,10,175,5.0
27,SP04,Ishan,10,8,150,4.8
27,SP05,Jiya,10,10,153,3.5
27,SP06,Kabir,10,10,152,3.5
27,SP07,Lalit,10,10,134,4.4
27,SP08,Mira,10,10,145,5.0
27,SP09,Naveen,10,10,156,4.4
27,SP10,Omkar,10,8,164,4.4
27,SP11,Priya,10,10,137,4.3
27,SP12,Rashmi,10,10,153,4.6
27,SP13,Siddharth,10,10,139,4.0
27,SP14,Tanvi,10,10,156,3.5
27,SP15,Usha,10,10,144,4.1
27,SP16,Varsha,10,10,158,4.2
27,SP17,Yash,10,10,152,4.3
27,SP18,Zain,10,8,163,3.8
27,SP19,Arjun,10,10,132,4.5
27,SP20,Bhavna,10,9,134,4.2
28,SP01,Fatima,10,10,143,5.0
28,SP02,Gaurav,10,10,134,4.4
28,SP03,Hema,10,10,163,4.8
28,SP04,Ishan,10,10,157,4.2
28,SP05,Jiya,10,10,160,5.0
28,SP06,Kabir,10,10,153,4.1
28,SP07,Lalit,10,10,150,4.1
28,SP08,Mira,10,10,154,4.1
28,SP09,Naveen,10,10,133,4.4
28,SP10,Omkar,10,10,146,4.9
28,SP11,Priya,10,10,162,4.3
28,SP12,Rashmi,10,10,159,4.6
28,SP13,Siddharth,10,10,151,4.5
28,SP14,Tanvi,10,10,146,4.9
28,SP15,Usha,10,8,145,4.1
28,SP16,Varsha,10,10,133,4.5
28,SP17,Yash,10,10,160,4.5
28,SP18,Zain,10,10,163,5.0
28,SP19,Arjun,10,10,165,4.3
28,SP20,Bhavna,10,10,133,5.0
29,SP01,Fatima,10,10,158,4.7
29,SP02,Gaurav,10,9,153,4.8
29,SP03,Hema,10,8,140,3.2
29,SP04,Ishan,10,10,141,4.0
29,SP05,Jiya,10,10,164,5.0
29,SP06,Kabir,10,8,150,4.1
29,SP07,Lalit,10,10,155,4.5
29,SP08,Mira,10,10,142,5.0
29,SP09,Naveen,10,9,141,4.5
29,SP10,Omkar,10,9,164,4.3
29,SP11,Priya,10,10,149,4.2
29,SP12,Rashmi,10,10,141,5.0
29,SP13,Siddharth,10,8,148,4.9
29,SP14,Tanvi,10,8,154,5.0
29,SP15,Usha,10,10,169,4.5
29,SP16,Varsha,10,10,154,4.3
29,SP17,Yash,10,10,147,3.5
29,SP18,Zain,10,10,154,4.2
29,SP19,Arjun,10,10,157,5.0
29,SP20,Bhavna,10,10,148,4.6
30,SP01,Fatima,10,10,148,4.8
30,SP02,Gaurav,10,10,146,4.8
30,SP03,Hema,10,10,141,4.2
30,SP04,Ishan,10,10,171,5.0
30,SP05,Jiya,10,10,164,3.7
30,SP06,Kabir,10,10,141,3.7
30,SP07,Lalit,10,10,139,4.9
30,SP08,Mira,10,10,143,4.0
30,SP09,Naveen,10,10,151,4.9
30,SP10,Omkar,10,10,133,3.6
30,SP11,Priya,10,10,162,4.5
30,SP12,Rashmi,10,10,151,4.6
30,SP13,Siddharth,10,10,141,4.7
30,SP14,Tanvi,10,10,151,4.3
30,SP15,Usha,10,10,139,4.5
30,SP16,Varsha,10,10,140,3.4
30,SP17,Yash,10,10,149,4.7
30,SP18,Zain,10,8,147,4.1
30,SP19,Arjun,10,10,150,4.5
30,SP20,Bhavna,10,10,175,4.7
