Day,Employee_ID,Name,Target_Sales,Actual_Sales,Completion_Time (mins),Feedback_Rating
4,R06,Praveen,10,10,490,4.8
4,R07,Rekha,10,10,491,4.4
4,R08,Suresh,10,9,479,4.7
4,R09,Tina,10,8,496,4.5
4,R10,Umesh,10,10,480,3.8
4,R11,Vikram,10,10,481,4.1
4,R12,Wendy,10,10,484,3.1
4,R13,Xavier,10,8,503,4.5
4,R14,Yasmin,10,10,470,5.0
4,R15,Zara,10,10,495,4.8
4,R16,Amit,10,10,480,3.8
4,R17,Bina,10,10,489,3.9
4,R18,Chandan,10,10,480,4.1
4,R19,Divya,10,10,477,4.5
4,R20,Eshan,10,10,462,4.5
5,R01,Kumar,10,10,477,4.2
5,R02,Leena,10,10,459,4.5
5,R03,Mohit,10,10,453,4.5
5,R04,Nisha,10,10,512,4.5
5,R05,Om,10,10,475,4.1
5,R06,Praveen,10,10,459,4.8
5,R07,Rekha,10,10,497,4.4
5,R08,Suresh,10,10,483,3.9
5,R09,Tina,10,10,496,4.3
5,R10,Umesh,10,10,509,4.3
5,R11,Vikram,10,10,413,4.4
5,R12,Wendy,10,10,466,5.0
5,R13,Xavier,10,10,498,2.8
5,R14,Yasmin,10,10,506,4.9
5,R15,Zara,10,9,483,4.6
5,R16,Amit,10,10,499,4.8
5,R17,Bina,10,10,515,5.0
5,R18,Chandan,10,10,475,4.8
5,R19,Divya,10,8,471,4.2
5,R20,Eshan,10,10,481,4.2
6,R01,Kumar,10,10,494,4.8
6,R02,Leena,10,10,506,4.4
6,R03,Mohit,10,10,482,3.7
6,R04,Nisha,10,10,435,4.4
6,R05,Om,10,10,501,4.5
6,R06,Praveen,10,10,488,4.4
6,R07,Rekha,10,10,477,4.7
6,R08,Suresh,10,10,491,4.8
6,R09,Tina,10,10,463,4.1
6,R10,Umesh,10,10,485,4.0
6,R11,Vikram,10,10,479,5.0
6,R12,Wendy,10,10,465,4.5
6,R13,Xavier,10,10,486,4.7
6,R14,Yasmin,10,9,471,4.8
6,R15,Zara,10,10,492,4.6
6,R16,Amit,10,10,497,4.8
6,R17,Bina,10,10,496,4.5
6,R18,Chandan,10,10,481,4.4
6,R19,Divya,10,10,478,4.6
6,R20,Eshan,10,10,467,3.3
7,R01,Kumar,10,10,526,4.4
7,R02,Leena,10,10,467,4.6
7,R03,Mohit,10,10,513,4.2
7,R04,Nisha,10,10,481,4.5
7,R05,Om,10,10,462,3.7
7,R06,Praveen,10,10,488,4.3
7,R07,Rekha,10,10,483,5.0
7,R08,Suresh,10,10,457,3.2
7,R09,Tina,10,10,472,3.6
7,R10,Umesh,10,10,484,3.9
7,R11,Vikram,10,10,485,4.8
7,R12,Wendy,10,10,508,4.9
7,R13,Xavier,10,8,510,5.0
7,R14,Yasmin,10,10,481,4.2
7,R15,Zara,10,10,484,4.9
7,R16,Amit,10,10,510,4.4
7,R17,Bina,10,10,474,4.3
7,R18,Chandan,10,9,498,5.0
7,R19,Divya,10,10,458,4.7
7,R20,Eshan,10,9,477,4.8
8,R01,Kumar,10,10,508,3.6
8,R02,Leena,10,8,520,4.4
8,R03,Mohit,10,10,470,5.0
8,R04,Nisha,10,10,458,4.0
8,R05,Om,10,10,477,4.6
8,R06,Praveen,10,10,488,4.6
8,R07,Rekha,10,10,527,5.0
8,R08,Suresh,10,9,510,4.8
8,R09,Tina,10,10,502,5.0
8,R10,Umesh,10,10,441,5.0
8,R11,Vikram,10,10,469,4.9
8,R12,Wendy,10,10,476,3.5
8,R13,Xavier,10,10,504,4.7
8,R14,Yasmin,10,10,480,4.0
8,R15,Zara,10,10,479,4.5
8,R16,Amit,10,10,468,4.3
8,R17,Bina,10,10,472,3.1
8,R18,Chandan,10,10,473,4.4
8,R19,Divya,10,10,458,4.3
8,R20,Eshan,10,9,523,4.9
9,R01,Kumar,10,10,487,4.6
9,R02,Leena,10,8,498,4.2
9,R03,Mohit,10,10,483,4.7
9,R04,Nisha,10,10,496,4.4
9,R05,Om,10,10,469,4.5
9,R06,Praveen,10,10,489,4.9
9,R07,Rekha,10,10,512,4.2
9,R08,Suresh,10,10,479,4.5
9,R09,Tina,10,10,471,4.9
9,R10,Umesh,10,10,505,4.2
9,R11,Vikram,10,10,486,3.9
9,R12,Wendy,10,10,495,3.9
9,R13,Xavier,10,10,494,4.5
9,R14,Yasmin,10,10,466,4.2
9,R15,Zara,10,9,506,4.0
9,R16,Amit,10,10,461,4.3
9,R17,Bina,10,10,495,4.4
9,R18,Chandan,10,10,457,4.5
9,R19,Divya,10,10,487,4.7
9,R20,Eshan,10,10,485,4.3
10,R01,Kumar,10,9,486,4.2
10,R02,Leena,10,10,479,3.2
10,R03,Mohit,10,9,485,3.9
10,R04,Nisha,10,10,472,4.7
10,R05,Om,10,10,505,4.5
10,R06,Praveen,10,10,486,4.6
10,R07,Rekha,10,10,494,4.3
10,R08,Suresh,10,10,491,5.0
10,R09,Tina,10,10,484,4.5
10,R10,Umesh,10,10,473,4.0
10,R11,Vikram,10,10,464,4.6
10,R12,Wendy,10,10,465,4.2
10,R13,Xavier,10,10,449,4.5
10,R14,Yasmin,10,10,501,4.5
10,R15,Zara,10,10,469,5.0
10,R16,Amit,10,10,466,3.6
10,R17,Bina,10,10,475,4.4
10,R18,Chandan,10,10,498,4.8
10,R19,Divya,10,10,491,4.6
10,R20,Eshan,10,10,473,5.0
11,R01,Kumar,10,10,462,5.0
11,R02,Leena,10,10,462,4.0
11,R03,Mohit,10,9,479,4.8
11,R04,Nisha,10,8,470,4.3
11,R05,Om,10,10,520,4.4
11,R06,Praveen,10,10,480,3.6
11,R07,Rekha,10,10,473,5.0
11,R08,Suresh,10,10,459,4.4
11,R09,Tina,10,10,490,4.8
11,R10,Umesh,10,10,440,4.5
11,R11,Vikram,10,10,481,4.8
11,R12,Wendy,10,10,488,4.5
11,R13,Xavier,10,10,502,4.7
11,R14,Yasmin,10,10,457,4.7
11,R15,Zara,10,10,465,4.8
11,R16,Amit,10,10,464,5.0
11,R17,Bina,10,8,470,5.0
11,R18,Chandan,10,10,499,4.4
11,R19,Divya,10,8,516,4.7
11,R20,Eshan,10,10,491,4.2
12,R01,Kumar,10,10,495,3.6
12,R02,Leena,10,9,476,4.3
12,R03,Mohit,10,9,497,4.0
12,R04,Nisha,10,10,458,4.7
12,R05,Om,10,9,471,4.8
12,R06,Praveen,10,10,477,4.1
12,R07,Rekha,10,10,505,3.3
12,R08,Suresh,10,10,497,4.7
12,R09,Tina,10,10,487,4.7
12,R10,Umesh,10,8,461,4.0
12,R11,Vikram,10,9,485,4.2
12,R12,Wendy,10,10,525,4.5
12,R13,Xavier,10,10,473,5.0
12,R14,Yasmin,10,10,480,4.6
12,R15,Zara,10,9,444,4.5
12,R16,Amit,10,10,492,4.8
12,R17,Bina,10,10,441,4.0
12,R18,Chandan,10,10,502,4.6
12,R19,Divya,10,10,491,4.2
12,R20,Eshan,10,8,522,4.7
13,R01,Kumar,10,10,475,5.0
13,R02,Leena,10,10,518,3.8
13,R03,Mohit,10,10,514,4.9
13,R04,Nisha,10,10,472,4.3
13,R05,Om,10,9,461,4.8
13,R06,Praveen,10,10,459,5.0
13,R07,Rekha,10,9,492,3.8
13,R08,Suresh,10,9,526,4.8
13,R09,Tina,10,10,500,4.7
13,R10,Umesh,10,10,485,4.1
13,R11,Vikram,10,10,450,4.7
13,R12,Wendy,10,10,480,4.4
13,R13,Xavier,10,10,486,4.8
13,R14,Yasmin,10,10,489,4.7
13,R15,Zara,10,10,488,4.7
13,R16,Amit,10,9,495,5.0
13,R17,Bina,10,10,475,5.0
13,R18,Chandan,10,10,496,4.9
13,R19,Divya,10,10,478,4.3
13,R20,Eshan,10,10,493,3.9
14,R01,Kumar,10,10,489,5.0
14,R02,Leena,10,10,498,4.3
14,R03,Mohit,10,10,445,4.1
14,R04,Nisha,10,8,483,4.9
14,R05,Om,10,10,445,4.1
14,R06,Praveen,10,10,481,5.0
14,R07,Rekha,10,10,462,4.8
14,R08,Suresh,10,9,479,4.3
14,R09,Tina,10,10,463,3.4
14,R10,Umesh,10,10,485,5.0
14,R11,Vikram,10,10,478,4.1
14,R12,Wendy,10,9,460,5.0
14,R13,Xavier,10,10,539,4.1
14,R14,Yasmin,10,10,478,4.9
14,R15,Zara,10,8,492,4.6
14,R16,Amit,10,10,486,4.7
14,R17,Bina,10,10,514,4.9
14,R18,Chandan,10,9,481,4.6
14,R19,Divya,10,10,451,3.8
14,R20,Eshan,10,10,485,4.9
15,R01,Kumar,10,10,460,4.8
15,R02,Leena,10,10,442,5.0
15,R03,Mohit,10,8,473,3.7
15,R04,Nisha,10,8,477,4.8
15,R05,Om,10,10,473,4.9
15,R06,Praveen,10,10,526,4.5
15,R07,Rekha,10,10,489,3.7
15,R08,Suresh,10,9,458,3.9
15,R09,Tina,10,10,494,4.1
15,R10,Umesh,10,10,483,4.4
15,R11,Vikram,10,10,474,3.7
15,R12,Wendy,10,10,497,4.5
15,R13,Xavier,10,10,484,4.4
15,R14,Yasmin,10,10,486,5.0
15,R15,Zara,10,10,462,3.5
15,R16,Amit,10,10,459,4.3
15,R17,Bina,10,10,471,4.1
15,R18,Chandan,10,9,502,4.7
15,R19,Divya,10,10,462,3.8
15,R20,Eshan,10,10,470,5.0
16,R01,Kumar,10,10,452,4.0
16,R02,Leena,10,10,502,4.5
16,R03,Mohit,10,8,504,4.4
16,R04,Nisha,10,8,437,4.5
16,R05,Om,10,10,493,4.9
16,R06,Praveen,10,10,480,4.6
16,R07,Rekha,10,10,487,4.6
16,R08,Suresh,10,10,483,3.9
16,R09,Tina,10,10,500,5.0
16,R10,Umesh,10,10,480,5.0
16,R11,Vikram,10,10,486,4.9
16,R12,Wendy,10,8,470,4.6
16,R13,Xavier,10,10,493,4.1
16,R14,Yasmin,10,10,474,4.8
16,R15,Zara,10,10,448,4.7
16,R16,Amit,10,10,509,4.9
16,R17,Bina,10,10,474,4.2
16,R18,Chandan,10,8,457,5.0
16,R19,Divya,10,10,445,4.4
16,R20,Eshan,10,10,491,5.0
17,R01,Kumar,10,8,472,4.9
17,R02,Leena,10,10,453,4.2
17,R03,Mohit,10,10,507,4.0
17,R04,Nisha,10,9,499,3.8
17,R05,Om,10,10,463,4.3
17,R06,Praveen,10,10,468,5.0
17,R07,Rekha,10,9,476,5.0
17,R08,Suresh,10,10,474,4.6
17,R09,Tina,10,9,467,4.6
17,R10,Umesh,10,10,455,4.7
17,R11,Vikram,10,9,482,5.0
17,R12,Wendy,10,8,491,4.7
17,R13,Xavier,10,8,470,4.9
17,R14,Yasmin,10,10,440,4.9
17,R15,Zara,10,8,485,4.6
17,R16,Amit,10,10,487,3.3
17,R17,Bina,10,10,486,5.0
17,R18,Chandan,10,10,499,4.4
17,R19,Divya,10,10,484,5.0
17,R20,Eshan,10,10,477,4.2
18,R01,Kumar,10,10,452,4.6
18,R02,Leena,10,10,471,3.6
18,R03,Mohit,10,10,489,4.9
18,R04,Nisha,10,8,492,3.6
18,R05,Om,10,9,509,3.4
18,R06,Praveen,10,10,495,5.0
18,R07,Rekha,10,10,449,4.7
18,R08,Suresh,10,10,461,4.8
18,R09,Tina,10,10,490,4.3
18,R10,Umesh,10,8,460,4.3
18,R11,Vikram,10,10,490,4.4
18,R12,Wendy,10,10,494,4.9
18,R13,Xavier,10,10,545,3.8
18,R14,Yasmin,10,10,475,4.6
18,R15,Zara,10,8,485,4.9
18,R16,Amit,10,10,458,5.0
18,R17,Bina,10,10,489,5.0
18,R18,Chandan,10,10,469,2.8
18,R19,Divya,10,10,479,4.9
18,R20,Eshan,10,10,483,4.5
19,R01,Kumar,10,10,509,5.0
19,R02,Leena,10,8,495,5.0
19,R03,Mohit,10,10,511,4.2
19,R04,Nisha,10,9,466,5.0
19,R05,Om,10,10,440,3.9
19,R06,Praveen,10,10,487,3.4
19,R07,Rekha,10,9,494,3.7
19,R08,Suresh,10,10,470,4.4
19,R09,Tina,10,9,460,4.9
19,R10,Umesh,10,8,479,3.2
19,R11,Vikram,10,10,473,4.1
19,R12,Wendy,10,10,471,4.7
19,R13,Xavier,10,10,449,4.9
19,R14,Yasmin,10,10,469,4.8
19,R15,Zara,10,10,487,4.0
19,R16,Amit,10,10,498,4.5
19,R17,Bina,10,8,447,5.0
19,R18,Chandan,10,10,471,4.3
19,R19,Divya,10,10,471,5.0
19,R20,Eshan,10,10,451,4.5
20,R01,Kumar,10,10,485,3.9
20,R02,Leena,10,9,466,4.9
20,R03,Mohit,10,10,484,4.9
20,R04,Nisha,10,10,494,4.3
20,R05,Om,10,8,499,4.4
20,R06,Praveen,10,10,455,4.5
20,R07,Rekha,10,10,478,4.7
20,R08,Suresh,10,10,502,4.3
20,R09,Tina,10,8,471,4.5
20,R10,Umesh,10,9,468,4.1
20,R11,Vikram,10,10,496,4.7
20,R12,Wendy,10,10,457,5.0
20,R13,Xavier,10,10,492,4.2
20,R14,Yasmin,10,10,467,4.7
20,R15,Zara,10,10,485,4.2
20,R16,Amit,10,10,505,3.9
20,R17,Bina,10,10,457,5.0
20,R18,Chandan,10,10,494,4.2
20,R19,Divya,10,10,506,4.3
20,R20,Eshan,10,10,467,3.9
21,R01,Kumar,10,10,480,4.3
21,R02,Leena,10,10,485,4.4
21,R03,Mohit,10,10,468,4.1
21,R04,Nisha,10,10,462,3.8
21,R05,Om,10,8,500,4.8
21,R06,Praveen,10,10,518,4.4
21,R07,Rekha,10,9,440,3.6
21,R08,Suresh,10,8,486,5.0
21,R09,Tina,10,10,485,4.1
21,R10,Umesh,10,10,487,3.9
21,R11,Vikram,10,10,458,4.6
21,R12,Wendy,10,10,483,4.4
21,R13,Xavier,10,10,457,5.0
21,R14,Yasmin,10,10,509,4.1
21,R15,Zara,10,10,454,5.0
21,R16,Amit,10,10,476,4.6
21,R17,Bina,10,10,494,5.0
21,R18,Chandan,10,10,430,4.8
21,R19,Divya,10,8,502,4.3
21,R20,Eshan,10,10,493,4.8
22,R01,Kumar,10,10,509,3.7
22,R02,Leena,10,9,465,4.0
22,R03,Mohit,10,10,475,3.9
22,R04,Nisha,10,10,441,4.9
22,R05,Om,10,8,445,4.8
22,R06,Praveen,10,10,501,5.0
22,R07,Rekha,10,10,525,4.6
22,R08,Suresh,10,9,451,4.8
22,R09,Tina,10,8,492,4.1
22,R10,Umesh,10,10,512,4.5
22,R11,Vikram,10,10,459,5.0
22,R12,Wendy,10,10,520,4.8
22,R13,Xavier,10,10,476,4.5
22,R14,Yasmin,10,8,441,4.1
22,R15,Zara,10,10,462,4.9
22,R16,Amit,10,10,462,4.1
22,R17,Bina,10,10,458,4.0
22,R18,Chandan,10,10,447,5.0
22,R19,Divya,10,10,484,4.9
22,R20,Eshan,10,9,500,3.7
23,R01,Kumar,10,10,460,4.9
23,R02,Leena,10,8,488,3.8
23,R03,Mohit,10,10,475,4.5
23,R04,Nisha,10,10,492,4.5
23,R05,Om,10,10,479,4.7
23,R06,Praveen,10,8,476,3.9
23,R07,Rekha,10,10,451,4.7
23,R08,Suresh,10,10,534,4.2
23,R09,Tina,10,10,524,5.0
23,R10,Umesh,10,10,502,4.6
23,R11,Vikram,10,10,509,4.3
23,R12,Wendy,10,10,457,4.7
23,R13,Xavier,10,8,481,4.8
23,R14,Yasmin,10,10,481,5.0
23,R15,Zara,10,10,447,5.0
23,R16,Amit,10,10,518,5.0
23,R17,Bina,10,10,512,4.2
23,R18,Chandan,10,10,466,4.2
23,R19,Divya,10,10,501,4.0
23,R20,Eshan,10,9,476,4.6
24,R01,Kumar,10,10,472,4.5
24,R02,Leena,10,10,473,3.7
24,R03,Mohit,10,10,487,3.7
24,R04,Nisha,10,10,463,5.0
24,R05,Om,10,10,484,4.6
24,R06,Praveen,10,10,471,4.1
24,R07,Rekha,10,10,466,5.0
24,R08,Suresh,10,9,492,4.4
24,R09,Tina,10,10,486,5.0
24,R10,Umesh,10,10,493,3.8
24,R11,Vikram,10,10,515,4.3
24,R12,Wendy,10,10,504,4.9
24,R13,Xavier,10,10,484,4.3
24,R14,Yasmin,10,10,481,4.5
24,R15,Zara,10,10,496,4.7
24,R16,Amit,10,8,488,4.9
24,R17,Bina,10,10,463,4.2
24,R18,Chandan,10,8,502,5.0
24,R19,Divya,10,10,444,4.5
24,R20,Eshan,10,10,477,4.4
25,R01,Kumar,10,9,509,4.2
25,R02,Leena,10,8,494,5.0
25,R03,Mohit,10,8,496,5.0
25,R04,Nisha,10,9,511,4.8
25,R05,Om,10,8,470,4.8
25,R06,Praveen,10,10,511,4.2
25,R07,Rekha,10,10,477,4.0
25,R08,Suresh,10,10,466,5.0
25,R09,Tina,10,8,467,3.7
25,R10,Umesh,10,10,477,4.4
25,R11,Vikram,10,10,466,4.7
25,R12,Wendy,10,10,487,3.2
25,R13,Xavier,10,10,503,4.3
25,R14,Yasmin,10,9,503,4.4
25,R15,Zara,10,9,488,4.8
25,R16,Amit,10,9,513,4.0
25,R17,Bina,10,10,473,5.0
25,R18,Chandan,10,10,465,5.0
25,R19,Divya,10,10,493,5.0
25,R20,Eshan,10,10,490,3.8
26,R01,Kumar,10,10,484,4.5
26,R02,Leena,10,10,478,3.7
26,R03,Mohit,10,10,470,4.3
26,R04,Nisha,10,10,449,3.8
26,R05,Om,10,10,467,5.0
26,R06,Praveen,10,10,487,4.8
26,R07,Rekha,10,10,477,5.0
26,R08,Suresh,10,10,486,4.6
26,R09,Tina,10,10,478,3.9
26,R10,Umesh,10,10,454,4.0
26,R11,Vikram,10,10,486,4.8
26,R12,Wendy,10,10,483,4.8
26,R13,Xavier,10,10,472,3.9
26,R14,Yasmin,10,10,494,5.0
26,R15,Zara,10,10,532,4.9
26,R16,Amit,10,10,513,4.1
26,R17,Bina,10,8,467,4.5
26,R18,Chandan,10,10,468,4.4
26,R19,Divya,10,10,480,3.8
26,R20,Eshan,10,10,487,5.0
27,R01,Kumar,10,10,473,4.5
27,R02,Leena,10,10,480,4.4
27,R03,Mohit,10,10,472,5.0
27,R04,Nisha,10,10,450,5.0
27,R05,Om,10,10,468,4.6
27,R06,Praveen,10,10,499,3.6
27,R07,Rekha,10,10,525,4.3
27,R08,Suresh,10,10,484,4.7
27,R09,Tina,10,10,453,4.4
27,R10,Umesh,10,10,474,4.3
27,R11,Vikram,10,10,467,5.0
27,R12,Wendy,10,10,495,4.2
27,R13,Xavier,10,8,490,4.2
27,R14,Yasmin,10,10,478,4.8
27,R15,Zara,10,10,459,4.5
27,R16,Amit,10,9,452,4.5
27,R17,Bina,10,9,453,4.8
27,R18,Chandan,10,8,490,4.6
27,R19,Divya,10,10,505,4.4
27,R20,Eshan,10,10,491,4.5
28,R01,Kumar,10,10,471,4.0
28,R02,Leena,10,10,462,3.5
28,R03,Mohit,10,10,458,5.0
28,R04,Nisha,10,9,455,4.6
28,R05,Om,10,10,478,4.3
28,R06,Praveen,10,10,510,5.0
28,R07,Rekha,10,10,476,4.1
28,R08,Suresh,10,10,480,4.5
28,R09,Tina,10,10,463,3.3
28,R10,Umesh,10,10,452,4.8
28,R11,Vikram,10,10,492,4.6
28,R12,Wendy,10,10,493,4.2
28,R13,Xavier,10,9,485,3.9
28,R14,Yasmin,10,10,506,4.7
28,R15,Zara,10,10,464,4.0
28,R16,Amit,10,10,491,5.0
28,R17,Bina,10,10,497,4.7
28,R18,Chandan,10,10,468,5.0
28,R19,Divya,10,8,451,4.1
28,R20,Eshan,10,10,512,4.8
29,R01,Kumar,10,10,475,4.4
29,R02,Leena,10,10,494,4.4
29,R03,Mohit,10,10,475,4.7
29,R04,Nisha,10,10,493,4.9
29,R05,Om,10,10,493,3.8
29,R06,Praveen,10,10,495,4.9
29,R07,Rekha,10,8,476,3.9
29,R08,Suresh,10,9,499,4.8
29,R09,Tina,10,10,492,4.7
29,R10,Umesh,10,10,500,3.6
29,R11,Vikram,10,10,491,4.2
29,R12,Wendy,10,10,492,3.7
29,R13,Xavier,10,10,469,4.5
29,R14,Yasmin,10,10,484,3.8
29,R15,Zara,10,10,489,5.0
29,R16,Amit,10,10,476,4.9
29,R17,Bina,10,10,468,5.0
29,R18,Chandan,10,10,486,5.0
29,R19,Divya,10,10,501,4.5
29,R20,Eshan,10,10,459,3.9
30,R01,Kumar,10,10,487,5.0
30,R02,Leena,10,10,475,4.5
30,R03,Mohit,10,8,472,3.8
30,R04,Nisha,10,9,475,4.4
30,R05,Om,10,10,512,4.2
30,R06,Praveen,10,10,475,5.0
30,R07,Rekha,10,10,447,4.9
30,R08,Suresh,10,9,474,3.6
30,R09,Tina,10,9,452,4.6
30,R10,Umesh,10,10,479,4.8
30,R11,Vikram,10,8,531,4.9
30,R12,Wendy,10,8,528,5.0
30,R13,Xavier,10,10,502,3.6
30,R14,Yasmin,10,10,497,4.9
30,R15,Zara,10,10,443,3.7
30,R16,Amit,10,10,484,4.9
30,R17,Bina,10,10,485,5.0
30,R18,Chandan,10,8,495,5.0
30,R19,Divya,10,10,494,4.8
30,R20,Eshan,10,10,488,4.1
