Day,Employee_ID,Name,Target_Laddoos,Target_Jalebis,Actual_Laddoos,Actual_Jalebis,Completion_Time (mins),Feedback_Rating
4,SM19,Suman,5,5,5,5,492,4.6
4,SM20,Tarun,5,5,5,5,482,5.0
5,SM01,Anil,5,5,5,5,490,5.0
5,SM02,Bhavya,5,5,5,5,499,5.0
5,SM03,Chitra,5,5,5,5,460,5.0
5,SM04,Deepak,5,5,5,5,494,4.1
5,SM05,Esha,5,5,4,3,433,3.9
5,SM06,Farhan,5,5,5,5,509,4.6
5,SM07,Gauri,5,5,3,3,515,4.4
5,SM08,Hari,5,5,5,5,463,4.0
5,SM09,Isha,5,5,5,5,462,4.3
5,SM10,Jatin,5,5,5,5,454,3.9
5,SM11,Kiran,5,5,5,5,475,5.0
5,SM12,Lata,5,5,5,5,482,4.1
5,SM13,Manoj,5,5,5,5,464,4.6
5,SM14,Nisha,5,5,5,5,487,4.5
5,SM15,Omkar,5,5,5,5,475,5.0
5,SM16,Prakash,5,5,5,5,473,4.8
5,SM17,Qadir,5,5,5,5,447,4.0
5,SM18,Rina,5,5,5,5,467,4.3
5,SM19,Suman,5,5,5,5,457,4.0
5,SM20,Tarun,5,5,5,5,477,4.7
6,SM01,Anil,5,5,3,3,468,5.0
6,SM02,Bhavya,5,5,5,5,498,5.0
6,SM03,Chitra,5,5,5,5,490,3.5
6,SM04,Deepak,5,5,5,5,502,3.5
6,SM05,Esha,5,5,4,3,483,3.8
6,SM06,Farhan,5,5,5,5,493,5.0
6,SM07,Gauri,5,5,5,5,470,4.5
6,SM08,Hari,5,5,5,5,487,4.0
6,SM09,Isha,5,5,5,5,474,4.2
6,SM10,Jatin,5,5,3,4,510,3.6
6,SM11,Kiran,5,5,5,5,499,4.3
6,SM12,Lata,5,5,5,5,524,4.6
6,SM13,Manoj,5,5,4,4,429,5.0
6,SM14,Nisha,5,5,3,3,482,4.2
6,SM15,Omkar,5,5,5,5,494,5.0
6,SM16,Prakash,5,5,5,5,503,3.9
6,SM17,Qadir,5,5,5,5,447,4.0
6,SM18,Rina,5,5,5,5,485,4.3
6,SM19,Suman,5,5,5,5,458,3.8
6,SM20,Tarun,5,5,5,5,466,4.0
7,SM01,Anil,5,5,5,5,493,4.7
7,SM02,Bhavya,5,5,5,5,505,3.1
7,SM03,Chitra,5,5,5,5,498,3.7
7,SM04,Deepak,5,5,5,5,499,3.6
7,SM05,Esha,5,5,5,5,485,5.0
7,SM06,Farhan,5,5,5,5,496,5.0
7,SM07,Gauri,5,5,4,3,481,4.5
7,SM08,Hari,5,5,3,4,491,4.1
7,SM09,Isha,5,5,5,5,528,4.1
7,SM10,Jatin,5,5,5,5,482,5.0
7,SM11,Kiran,5,5,5,5,470,4.6
7,SM12,Lata,5,5,5,5,496,4.6
7,SM13,Manoj,5,5,5,5,472,4.6
7,SM14,Nisha,5,5,5,5,479,4.9
7,SM15,Omkar,5,5,3,3,477,4.3
7,SM16,Prakash,5,5,5,5,465,4.7
7,SM17,Qadir,5,5,3,3,496,4.1
7,SM18,Rina,5,5,5,5,485,4.3
7,SM19,Suman,5,5,5,5,501,4.9
7,SM20,Tarun,5,5,5,5,476,4.2
8,SM01,Anil,5,5,3,4,521,4.0
8,SM02,Bhavya,5,5,5,5,509,4.5
8,SM03,Chitra,5,5,5,5,456,3.7
8,SM04,Deepak,5,5,5,5,457,4.2
8,SM05,Esha,5,5,3,3,477,4.4
8,SM06,Farhan,5,5,5,5,467,4.0
8,SM07,Gauri,5,5,3,3,485,4.1
8,SM08,Hari,5,5,5,5,489,4.3
8,SM09,Isha,5,5,5,5,514,4.4
8,SM10,Jatin,5,5,3,4,488,4.5
8,SM11,Kiran,5,5,5,5,457,4.1
8,SM12,Lata,5,5,5,5,458,4.6
8,SM13,Manoj,5,5,5,5,466,4.6
8,SM14,Nisha,5,5,3,4,499,5.0
8,SM15,Omkar,5,5,3,3,446,5.0
8,SM16,Prakash,5,5,5,5,474,4.8
8,SM17,Qadir,5,5,5,5,495,4.3
8,SM18,Rina,5,5,5,5,471,4.0
8,SM19,Suman,5,5,5,5,498,3.6
8,SM20,Tarun,5,5,3,3,462,5.0
9,SM01,Anil,5,5,5,5,448,4.4
9,SM02,Bhavya,5,5,5,5,498,3.9
9,SM03,Chitra,5,5,4,4,498,4.2
9,SM04,Deepak,5,5,5,5,469,4.2
9,SM05,Esha,5,5,5,5,507,4.3
9,SM06,Farhan,5,5,5,5,517,4.3
9,SM07,Gauri,5,5,5,5,463,5.0
9,SM08,Hari,5,5,4,3,510,4.7
9,SM09,Isha,5,5,5,5,507,4.1
9,SM10,Jatin,5,5,5,5,502,4.4
9,SM11,Kiran,5,5,5,5,485,4.4
9,SM12,Lata,5,5,5,5,486,4.9
9,SM13,Manoj,5,5,4,3,457,4.8
9,SM14,Nisha,5,5,3,4,481,4.7
9,SM15,Omkar,5,5,4,4,480,5.0
9,SM16,Prakash,5,5,5,5,483,3.2
9,SM17,Qadir,5,5,5,5,479,5.0
9,SM18,Rina,5,5,5,5,491,5.0
9,SM19,Suman,5,5,5,5,476,4.3
9,SM20,Tarun,5,5,5,5,482,5.0
10,SM01,Anil,5,5,4,4,503,4.8
10,SM02,Bhavya,5,5,5,5,501,4.3
10,SM03,Chitra,5,5,5,5,480,4.1
10,SM04,Deepak,5,5,4,3,467,4.2
10,SM05,Esha,5,5,3,3,500,5.0
10,SM06,Farhan,5,5,3,3,479,3.8
10,SM07,Gauri,5,5,5,5,488,5.0
10,SM08,Hari,5,5,5,5,487,5.0
10,SM09,Isha,5,5,5,5,509,4.4
10,SM10,Jatin,5,5,3,3,498,4.0
10,SM11,Kiran,5,5,4,4,494,4.7
10,SM12,Lata,5,5,5,5,462,4.6
10,SM13,Manoj,5,5,4,4,472,4.3
10,SM14,Nisha,5,5,5,5,458,4.9
10,SM15,Omkar,5,5,5,5,466,5.0
10,SM16,Prakash,5,5,5,5,470,5.0
10,SM17,Qadir,5,5,5,5,452,5.0
10,SM18,Rina,5,5,5,5,455,4.7
10,SM19,Suman,5,5,5,5,506,4.7
10,SM20,Tarun,5,5,5,5,467,3.6
11,SM01,Anil,5,5,5,5,486,3.6
11,SM02,Bhavya,5,5,5,5,499,5.0
11,SM03,Chitra,5,5,5,5,455,4.6
11,SM04,Deepak,5,5,4,3,479,3.7
11,SM05,Esha,5,5,5,5,455,4.3
11,SM06,Farhan,5,5,5,5,487,4.2
11,SM07,Gauri,5,5,5,5,466,5.0
11,SM08,Hari,5,5,5,5,470,4.6
11,SM09,Isha,5,5,5,5,478,3.8
11,SM10,Jatin,5,5,3,4,490,4.2
11,SM11,Kiran,5,5,3,3,471,3.9
11,SM12,Lata,5,5,5,5,486,3.8
11,SM13,Manoj,5,5,5,5,488,5.0
11,SM14,Nisha,5,5,5,5,469,4.4
11,SM15,Omkar,5,5,3,4,480,4.9
11,SM16,Prakash,5,5,5,5,492,4.4
11,SM17,Qadir,5,5,5,5,475,4.8
11,SM18,Rina,5,5,5,5,483,3.7
11,SM19,Suman,5,5,4,3,494,5.0
11,SM20,Tarun,5,5,5,5,496,4.4
12,SM01,Anil,5,5,5,5,476,4.0
12,SM02,Bhavya,5,5,5,5,500,5.0
12,SM03,Chitra,5,5,5,5,471,4.5
12,SM04,Deepak,5,5,5,5,490,5.0
12,SM05,Esha,5,5,5,5,482,3.8
12,SM06,Farhan,5,5,5,5,493,4.5
12,SM07,Gauri,5,5,5,5,497,5.0
12,SM08,Hari,5,5,4,4,500,5.0
12,SM09,Isha,5,5,5,5,487,4.6
12,SM10,Jatin,5,5,3,4,471,5.0
12,SM11,Kiran,5,5,5,5,442,4.5
12,SM12,Lata,5,5,5,5,462,3.9
12,SM13,Manoj,5,5,4,4,512,4.5
12,SM14,Nisha,5,5,5,5,465,5.0
12,SM15,Omkar,5,5,5,5,490,3.3
12,SM16,Prakash,5,5,5,5,462,4.6
12,SM17,Qadir,5,5,5,5,479,4.6
12,SM18,Rina,5,5,4,4,461,4.4
12,SM19,Suman,5,5,5,5,486,4.9
12,SM20,Tarun,5,5,5,5,449,5.0
13,SM01,Anil,5,5,5,5,465,5.0
13,SM02,Bhavya,5,5,4,3,476,4.6
13,SM03,Chitra,5,5,5,5,443,4.4
13,SM04,Deepak,5,5,5,5,468,3.8
13,SM05,Esha,5,5,5,5,469,4.4
13,SM06,Farhan,5,5,5,5,490,4.9
13,SM07,Gauri,5,5,3,4,498,4.5
13,SM08,Hari,5,5,5,5,423,4.8
13,SM09,Isha,5,5,5,5,511,4.3
13,SM10,Jatin,5,5,5,5,477,4.7
13,SM11,Kiran,5,5,5,5,463,4.9
13,SM12,Lata,5,5,5,5,490,3.9
13,SM13,Manoj,5,5,4,3,484,5.0
13,SM14,Nisha,5,5,3,3,509,4.6
13,SM15,Omkar,5,5,5,5,478,3.7
13,SM16,Prakash,5,5,5,5,472,4.2
13,SM17,Qadir,5,5,5,5,455,4.4
13,SM18,Rina,5,5,5,5,481,4.9
13,SM19,Suman,5,5,5,5,516,4.4
13,SM20,Tarun,5,5,4,3,463,5.0
14,SM01,Anil,5,5,5,5,519,4.8
14,SM02,Bhavya,5,5,5,5,490,4.3
14,SM03,Chitra,5,5,5,5,487,3.8
14,SM04,Deepak,5,5,5,5,454,4.7
14,SM05,Esha,5,5,5,5,512,5.0
14,SM06,Farhan,5,5,5,5,452,4.1
14,SM07,Gauri,5,5,5,5,491,4.6
14,SM08,Hari,5,5,4,4,441,4.5
14,SM09,Isha,5,5,5,5,524,4.3
14,SM10,Jatin,5,5,5,5,468,4.5
14,SM11,Kiran,5,5,5,5,494,4.7
14,SM12,Lata,5,5,5,5,477,4.5
14,SM13,Manoj,5,5,5,5,459,5.0
14,SM14,Nisha,5,5,3,4,469,4.8
14,SM15,Omkar,5,5,5,5,477,4.5
14,SM16,Prakash,5,5,5,5,493,4.4
14,SM17,Qadir,5,5,5,5,467,4.4
14,SM18,Rina,5,5,5,5,519,4.0
14,SM19,Suman,5,5,5,5,469,4.4
14,SM20,Tarun,5,5,5,5,492,4.2
15,SM01,Anil,5,5,5,5,492,4.8
15,SM02,Bhavya,5,5,5,5,463,4.0
15,SM03,Chitra,5,5,5,5,464,4.8
15,SM04,Deepak,5,5,5,5,487,4.8
15,SM05,Esha,5,5,4,3,476,4.9
15,SM06,Farhan,5,5,5,5,538,4.0
15,SM07,Gauri,5,5,5,5,431,4.8
15,SM08,Hari,5,5,5,5,461,4.0
15,SM09,Isha,5,5,4,3,472,4.3
15,SM10,Jatin,5,5,5,5,473,4.8
15,SM11,Kiran,5,5,5,5,511,4.3
15,SM12,Lata,5,5,5,5,482,3.9
15,SM13,Manoj,5,5,5,5,506,5.0
15,SM14,Nisha,5,5,5,5,535,3.8
15,SM15,Omkar,5,5,4,3,474,3.9
15,SM16,Prakash,5,5,5,5,489,4.9
15,SM17,Qadir,5,5,5,5,452,4.9
15,SM18,Rina,5,5,5,5,499,4.4
15,SM19,Suman,5,5,5,5,501,3.9
15,SM20,Tarun,5,5,3,4,502,4.6
16,SM01,Anil,5,5,5,5,434,5.0
16,SM02,Bhavya,5,5,3,4,499,4.7
16,SM03,Chitra,5,5,5,5,449,3.7
16,SM04,Deepak,5,5,5,5,445,4.6
16,SM05,Esha,5,5,5,5,454,3.3
16,SM06,Farhan,5,5,5,5,468,5.0
16,SM07,Gauri,5,5,5,5,465,4.2
16,SM08,Hari,5,5,5,5,502,4.4
16,SM09,Isha,5,5,5,5,488,4.3
16,SM10,Jatin,5,5,5,5,481,4.4
16,SM11,Kiran,5,5,5,5,462,4.0
16,SM12,Lata,5,5,3,3,492,4.3
16,SM13,Manoj,5,5,5,5,537,4.5
16,SM14,Nisha,5,5,5,5,491,4.0
16,SM15,Omkar,5,5,5,5,490,4.1
16,SM16,Prakash,5,5,5,5,464,4.3
16,SM17,Qadir,5,5,4,3,451,4.4
16,SM18,Rina,5,5,5,5,487,4.8
16,SM19,Suman,5,5,5,5,496,3.5
16,SM20,Tarun,5,5,5,5,465,5.0
17,SM01,Anil,5,5,5,5,474,5.0
17,SM02,Bhavya,5,5,5,5,472,4.5
17,SM03,Chitra,5,5,5,5,447,4.1
17,SM04,Deepak,5,5,5,5,480,4.8
17,SM05,Esha,5,5,5,5,489,4.6
17,SM06,Farhan,5,5,5,5,486,5.0
17,SM07,Gauri,5,5,4,3,462,4.5
17,SM08,Hari,5,5,5,5,478,4.3
17,SM09,Isha,5,5,5,5,471,4.6
17,SM10,Jatin,5,5,5,5,496,4.3
17,SM11,Kiran,5,5,5,5,500,5.0
17,SM12,Lata,5,5,5,5,460,5.0
17,SM13,Manoj,5,5,5,5,468,4.2
17,SM14,Nisha,5,5,5,5,490,4.4
17,SM15,Omkar,5,5,5,5,466,4.9
17,SM16,Prakash,5,5,5,5,499,5.0
17,SM17,Qadir,5,5,4,3,483,4.1
17,SM18,Rina,5,5,5,5,462,4.9
17,SM19,Suman,5,5,5,5,533,4.2
17,SM20,Tarun,5,5,5,5,495,4.9
18,SM01,Anil,5,5,5,5,512,5.0
18,SM02,Bhavya,5,5,5,5,533,4.7
18,SM03,Chitra,5,5,4,4,470,4.4
18,SM04,Deepak,5,5,4,3,435,4.9
18,SM05,Esha,5,5,5,5,484,4.2
18,SM06,Farhan,5,5,4,3,459,4.2
18,SM07,Gauri,5,5,5,5,492,5.0
18,SM08,Hari,5,5,5,5,506,4.7
18,SM09,Isha,5,5,5,5,490,4.3
18,SM10,Jatin,5,5,5,5,476,4.9
18,SM11,Kiran,5,5,5,5,476,5.0
18,SM12,Lata,5,5,5,5,436,4.2
18,SM13,Manoj,5,5,5,5,495,4.5
18,SM14,Nisha,5,5,5,5,480,5.0
18,SM15,Omkar,5,5,4,4,492,4.8
18,SM16,Prakash,5,5,5,5,467,4.7
18,SM17,Qadir,5,5,5,5,469,5.0
18,SM18,Rina,5,5,5,5,492,4.5
18,SM19,Suman,5,5,5,5,461,4.6
18,SM20,Tarun,5,5,5,5,468,3.7
19,SM01,Anil,5,5,4,3,476,4.3
19,SM02,Bhavya,5,5,5,5,479,4.7
19,SM03,Chitra,5,5,3,3,453,5.0
19,SM04,Deepak,5,5,4,3,498,5.0
19,SM05,Esha,5,5,5,5,452,4.2
19,SM06,Farhan,5,5,5,5,516,4.2
19,SM07,Gauri,5,5,4,3,481,3.7
19,SM08,Hari,5,5,5,5,483,5.0
19,SM09,Isha,5,5,5,5,517,4.1
19,SM10,Jatin,5,5,5,5,489,4.6
19,SM11,Kiran,5,5,5,5,462,4.6
19,SM12,Lata,5,5,5,5,467,4.9
19,SM13,Manoj,5,5,3,4,501,4.2
19,SM14,Nisha,5,5,5,5,501,4.3
19,SM15,Omkar,5,5,5,5,468,4.9
19,SM16,Prakash,5,5,5,5,482,4.9
19,SM17,Qadir,5,5,5,5,489,5.0
19,SM18,Rina,5,5,5,5,492,4.4
19,SM19,Suman,5,5,4,3,473,4.9
19,SM20,Tarun,5,5,5,5,495,4.1
20,SM01,Anil,5,5,5,5,473,4.9
20,SM02,Bhavya,5,5,4,4,460,4.7
20,SM03,Chitra,5,5,5,5,462,5.0
20,SM04,Deepak,5,5,3,4,521,3.6
20,SM05,Esha,5,5,5,5,453,4.7
20,SM06,Farhan,5,5,5,5,492,3.6
20,SM07,Gauri,5,5,5,5,473,5.0
20,SM08,Hari,5,5,3,4,471,4.9
20,SM09,Isha,5,5,5,5,480,3.9
20,SM10,Jatin,5,5,5,5,477,4.3
20,SM11,Kiran,5,5,5,5,475,4.1
20,SM12,Lata,5,5,3,4,450,4.6
20,SM13,Manoj,5,5,4,3,472,4.6
20,SM14,Nisha,5,5,5,5,472,4.6
20,SM15,Omkar,5,5,5,5,481,4.1
20,SM16,Prakash,5,5,5,5,487,5.0
20,SM17,Qadir,5,5,5,5,480,5.0
20,SM18,Rina,5,5,5,5,462,4.4
20,SM19,Suman,5,5,4,3,486,4.9
20,SM20,Tarun,5,5,5,5,473,4.3
21,SM01,Anil,5,5,5,5,482,4.0
21,SM02,Bhavya,5,5,3,3,503,3.9
21,SM03,Chitra,5,5,5,5,472,4.0
21,SM04,Deepak,5,5,5,5,496,4.0
21,SM05,Esha,5,5,5,5,495,4.8
21,SM06,Farhan,5,5,5,5,477,5.0
21,SM07,Gauri,5,5,5,5,494,4.8
21,SM08,Hari,5,5,4,4,476,5.0
21,SM09,Isha,5,5,5,5,488,5.0
21,SM10,Jatin,5,5,5,5,463,4.6
21,SM11,Kiran,5,5,5,5,474,5.0
21,SM12,Lata,5,5,5,5,513,4.8
21,SM13,Manoj,5,5,5,5,480,5.0
21,SM14,Nisha,5,5,5,5,487,4.4
21,SM15,Omkar,5,5,5,5,461,4.3
21,SM16,Prakash,5,5,5,5,486,4.1
21,SM17,Qadir,5,5,5,5,500,4.7
21,SM18,Rina,5,5,5,5,480,4.0
21,SM19,Suman,5,5,5,5,483,4.5
21,SM20,Tarun,5,5,5,5,478,5.0
22,SM01,Anil,5,5,5,5,458,4.2
22,SM02,Bhavya,5,5,5,5,471,4.9
22,SM03,Chitra,5,5,3,3,472,5.0
22,SM04,Deepak,5,5,5,5,493,3.9
22,SM05,Esha,5,5,5,5,488,3.5
22,SM06,Farhan,5,5,5,5,485,4.6
22,SM07,Gauri,5,5,5,5,509,4.7
22,SM08,Hari,5,5,5,5,505,4.9
22,SM09,Isha,5,5,5,5,500,4.7
22,SM10,Jatin,5,5,4,3,500,3.7
22,SM11,Kiran,5,5,5,5,460,3.1
22,SM12,Lata,5,5,5,5,518,5.0
22,SM13,Manoj,5,5,4,4,452,4.2
22,SM14,Nisha,5,5,4,4,484,4.8
22,SM15,Omkar,5,5,5,5,498,4.0
22,SM16,Prakash,5,5,5,5,502,3.8
22,SM17,Qadir,5,5,5,5,488,5.0
22,SM18,Rina,5,5,5,5,466,4.5
22,SM19,Suman,5,5,5,5,506,4.2
22,SM20,Tarun,5,5,3,3,477,4.0
23,SM01,Anil,5,5,3,3,494,4.8
23,SM02,Bhavya,5,5,5,5,529,5.0
23,SM03,Chitra,5,5,5,5,488,5.0
23,SM04,Deepak,5,5,5,5,454,4.2
23,SM05,Esha,5,5,3,4,493,4.0
23,SM06,Farhan,5,5,5,5,458,5.0
23,SM07,Gauri,5,5,5,5,465,4.7
23,SM08,Hari,5,5,5,5,478,3.9
23,SM09,Isha,5,5,4,4,506,4.0
23,SM10,Jatin,5,5,5,5,506,4.9
23,SM11,Kiran,5,5,5,5,451,4.5
23,SM12,Lata,5,5,5,5,460,4.1
23,SM13,Manoj,5,5,4,4,483,4.6
23,SM14,Nisha,5,5,5,5,485,4.6
23,SM15,Omkar,5,5,5,5,475,5.0
23,SM16,Prakash,5,5,5,5,503,5.0
23,SM17,Qadir,5,5,5,5,490,4.3
23,SM18,Rina,5,5,5,5,495,4.0
23,SM19,Suman,5,5,5,5,521,4.0
23,SM20,Tarun,5,5,5,5,478,4.8
24,SM01,Anil,5,5,5,5,466,4.4
24,SM02,Bhavya,5,5,4,4,475,5.0
24,SM03,Chitra,5,5,5,5,496,5.0
24,SM04,Deepak,5,5,5,5,487,5.0
24,SM05,Esha,5,5,5,5,467,4.4
24,SM06,Farhan,5,5,5,5,481,4.4
24,SM07,Gauri,5,5,5,5,443,4.4
24,SM08,Hari,5,5,5,5,526,4.8
24,SM09,Isha,5,5,5,5,477,4.2
24,SM10,Jatin,5,5,5,5,505,4.2
24,SM11,Kiran,5,5,5,5,459,4.7
24,SM12,Lata,5,5,5,5,480,4.6
24,SM13,Manoj,5,5,5,5,473,5.0
24,SM14,Nisha,5,5,3,4,468,4.4
24,SM15,Omkar,5,5,5,5,471,4.9
24,SM16,Prakash,5,5,5,5,509,4.5
24,SM17,Qadir,5,5,5,5,511,3.9
24,SM18,Rina,5,5,3,4,485,4.3
24,SM19,Suman,5,5,5,5,431,4.8
24,SM20,Tarun,5,5,5,5,502,4.0
25,SM01,Anil,5,5,5,5,500,4.6
25,SM02,Bhavya,5,5,5,5,488,4.9
25,SM03,Chitra,5,5,3,3,453,3.8
25,SM04,Deepak,5,5,5,5,479,4.8
25,SM05,Esha,5,5,5,5,482,4.0
25,SM06,Farhan,5,5,5,5,461,4.8
25,SM07,Gauri,5,5,5,5,471,4.6
25,SM08,Hari,5,5,5,5,464,5.0
25,SM09,Isha,5,5,5,5,479,5.0
25,SM10,Jatin,5,5,5,5,445,4.9
25,SM11,Kiran,5,5,4,4,454,4.3
25,SM12,Lata,5,5,5,5,460,5.0
25,SM13,Manoj,5,5,5,5,462,4.0
25,SM14,Nisha,5,5,5,5,471,4.5
25,SM15,Omkar,5,5,5,5,510,4.7
25,SM16,Prakash,5,5,4,3,521,5.0
25,SM17,Qadir,5,5,5,5,472,4.0
25,SM18,Rina,5,5,5,5,488,5.0
25,SM19,Suman,5,5,5,5,459,3.9
25,SM20,Tarun,5,5,5,5,476,5.0
26,SM01,Anil,5,5,3,3,472,4.4
26,SM02,Bhavya,5,5,5,5,473,4.8
26,SM03,Chitra,5,5,3,4,462,4.2
26,SM04,Deepak,5,5,5,5,492,4.8
26,SM05,Esha,5,5,5,5,483,4.0
26,SM06,Farhan,5,5,5,5,500,4.3
26,SM07,Gauri,5,5,5,5,515,4.7
26,SM08,Hari,5,5,5,5,482,4.9
26,SM09,Isha,5,5,3,4,501,4.7
26,SM10,Jatin,5,5,5,5,438,3.6
26,SM11,Kiran,5,5,5,5,496,5.0
26,SM12,Lata,5,5,5,5,459,4.5
26,SM13,Manoj,5,5,5,5,501,5.0
26,SM14,Nisha,5,5,5,5,485,4.1
26,SM15,Omkar,5,5,5,5,468,4.2
26,SM16,Prakash,5,5,3,3,473,4.6
26,SM17,Qadir,5,5,5,5,517,4.5
26,SM18,Rina,5,5,5,5,483,5.0
26,SM19,Suman,5,5,5,5,479,4.2
26,SM20,Tarun,5,5,5,5,498,4.1
27,SM01,Anil,5,5,4,4,456,4.8
27,SM02,Bhavya,5,5,5,5,496,3.4
27,SM03,Chitra,5,5,5,5,463,5.0
27,SM04,Deepak,5,5,5,5,503,4.4
27,SM05,Esha,5,5,3,4,528,5.0
27,SM06,Farhan,5,5,5,5,514,4.5
27,SM07,Gauri,5,5,4,3,483,4.4
27,SM08,Hari,5,5,5,5,514,3.7
27,SM09,Isha,5,5,5,5,470,3.8
27,SM10,Jatin,5,5,5,5,459,5.0
27,SM11,Kiran,5,5,5,5,452,4.8
27,SM12,Lata,5,5,5,5,496,5.0
27,SM13,Manoj,5,5,5,5,476,3.9
27,SM14,Nisha,5,5,4,3,458,4.3
27,SM15,Omkar,5,5,4,4,452,3.9
27,SM16,Prakash,5,5,5,5,465,3.6
27,SM17,Qadir,5,5,5,5,472,4.1
27,SM18,Rina,5,5,5,5,458,4.4
27,SM19,Suman,5,5,4,3,463,4.7
27,SM20,Tarun,5,5,4,3,456,4.3
28,SM01,Anil,5,5,5,5,478,3.5
28,SM02,Bhavya,5,5,5,5,471,4.7
28,SM03,Chitra,5,5,5,5,490,3.9
28,SM04,Deepak,5,5,4,4,480,4.6
28,SM05,Esha,5,5,5,5,478,3.8
28,SM06,Farhan,5,5,5,5,508,4.9
28,SM07,Gauri,5,5,3,4,488,4.8
28,SM08,Hari,5,5,5,5,501,4.7
28,SM09,Isha,5,5,5,5,494,4.3
28,SM10,Jatin,5,5,5,5,483,4.6
28,SM11,Kiran,5,5,5,5,452,3.7
28,SM12,Lata,5,5,4,3,472,3.9
28,SM13,Manoj,5,5,5,5,464,5.0
28,SM14,Nisha,5,5,4,4,467,4.9
28,SM15,Omkar,5,5,5,5,487,3.7
28,SM16,Prakash,5,5,5,5,465,4.0
28,SM17,Qadir,5,5,5,5,476,4.9
28,SM18,Rina,5,5,5,5,484,4.1
28,SM19,Suman,5,5,3,3,501,4.5
28,SM20,Tarun,5,5,5,5,494,4.6
29,SM01,Anil,5,5,5,5,486,4.2
